Tanggal,Rekening_Asal,Rekening_Tujuan,Jumlah,Jenis_Belanja,Deskripsi,Is_Anomaly
2023-08-03,ACC_KEMENESDM_020_331,ACC_SOS_027_459,6675326256.17,Belanja Barang,Pengadaan barang operasional,0
2023-04-10,ACC_PPATK_078_872,ACC_POLRI_060_664,16976939289.96,Belanja Bantuan Sosial,Bansos tunai,0
2023-10-21,ACC_BPK_004_386,ACC_ESDM_020_192,18776694218.93,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-06-10,ACC_BRIN_124_460,ACC_PPATK_078_314,9631823960.7,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-02-28,ACC_KEMENAG_025_511,ACC_BPS_054_682,5308406416.34,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-07-07,ACC_KEU_015_976,ACC_KES_024_783,6954310238.23,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-02-24,ACC_BPK_004_244,ACC_KEMENDIKBUD_023_832,11859796018.59,Belanja Modal,Pembangunan infrastruktur jalan,0
2023-11-03,ACC_KEU_015_647,ACC_KEMENHUB_022_021,31655456550.3,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-12-12,ACC_BPJS_NA_565,ACC_KEMENESDM_020_898,3878150910.07,Belanja Modal,Pembangunan infrastruktur jalan,0
2023-09-21,ACC_BPS_054_943,ACC_BPK_004_035,38874196098.48,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-01-02,ACC_KEMENAG_025_390,ACC_POLRI_060_566,19154077198.94,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-11-06,ACC_PERT_018_477,ACC_BPJS_NA_703,7554501479.75,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-09-27,ACC_KEMENDAGRI_010_863,ACC_KEMENDAGRI_010_863,2302664119.87,Belanja Bantuan Sosial,Bansos tunai,1
2023-08-03,ACC_KOMINFO_059_252,ACC_KEMENDAGRI_010_702,7000675730.25,Belanja Barang,Pengadaan barang operasional,0
2023-02-22,ACC_KES_024_792,ACC_KES_024_792,5164295889.21,Belanja Barang,Pengadaan barang operasional,1
2023-07-07,ACC_KEMENHAN_012_380,ACC_KEMENPERIN_019_493,6506770285.25,Belanja Lain-lain,Cadangan risiko fiskal,0
2023-06-12,ACC_PUPR_033_419,ACC_PPATK_078_289,13818493999.77,Belanja Pegawai,Pembayaran THR,0
2023-08-19,ACC_KEMENHUB_022_041,ACC_SOS_027_028,33054512243.47,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
